company,Top-Sale,Top-Day,Second-Sale,Second-Day,Third-Sale,Third-Day
PUB ON MAIN,1, 'Mon',,,,
Bare Burger ($%$%),1, 'Thu',,,,
MisConduct Tavern,4, 'Tue',3, 'Wed',2, 'Fri'
UNION TAP MANYUNK,7, 'Fri',4, 'Mon',3, 'Thu'
Brickhouse Bar & Grill,9, 'Wed',6, 'Tue',5, 'Mon'
Smokin Betty's,1, 'Tue',,,,
Broad Street Bullies,6, 'Tue',4, 'Fri',1, 'Wed'
Garret Hill Pizza,1, 'Wed',,,,
One Stop Beverage,5, 'Wed',4, 'Mon',3, 'Fri'
GIANT HAVERTOWN,27, 'Sun',5, 'Fri',2, 'Thu'
STOOGES,2, 'Tue',,,,
Pitchers Pub,4, 'Fri',3, 'Mon',2, 'Wed'
Cross Bar,1, 'Thu',,,,
VESUVIO - DRUM PA,1, 'Thu',,,,
KO Restaurant,3, 'Wed',2, 'Fri',1, 'Tue'
Toms Pizza Place,1, 'Tue',,,,
ARTS BALLROOM (99),1, 'Fri',,,,
MAGGIES WATERFRONT CAFE,1, 'Tue',,,,
VARIETY PACKS,4, 'Wed',3, 'Thu',2, 'Fri'
WEIS DOYLESTOWN ,23, 'Fri',13, 'Mon',11, 'Sat'
Tria Taproom,9, 'Mon',6, 'Thu',4, 'Tue'
Cottman Beverage,11, 'Mon',3, 'Tue',2, 'Wed'
Bohlin Cynski (%$%$),3, 'Thu',2, 'Wed',,
BEER BARON,1, 'Wed',,,,
Old Philly Ale House,19, 'Fri',6, 'Tue',5, 'Wed'
Exton Beverage,45, 'Tue',8, 'Fri',7, 'Mon'
Plaza Beverage (Pittston),11, 'Tue',5, 'Mon',1, 'Wed'
Townsend,2, 'Sat',1, 'Tue',,
Franklin Beverage9999,6, 'Wed',5, 'Tue',3, 'Fri'
Pats Beverage,8, 'Fri',5, 'Tue',4, 'Mon'
Mica,2, 'Tue',1, 'Wed',,
Ballast Point Brewing Co.,7, 'Tue',6, 'Wed',5, 'Mon'
Harrington's Beer Distributor,1, 'Tue',,,,
East Falls Beverage,6, 'Wed',3, 'Thu',2, 'Tue'
NESHAMINY BEVERAGE,2, 'Tue',1, 'Fri',,
RESTURANT 51,1, 'Tue',,,,
MCLAUGHLIN'S BEVERAGE,4, 'Wed',2, 'Tue',1, 'Thu'
Iron Abbey ,18, 'Mon',13, 'Fri',1, 'Wed'
PINOCCHIOS PIZZA,29, 'Fri',15, 'Mon',12, 'Tue'
WHITE MANOR COUNTRY CLUB,5, 'Mon',4, 'Fri',3, 'Wed'
Starr Restautant Catering Group(%%%%),1, 'Mon',,,,
Ugly Oyster,1, 'Thu',,,,
Diablo Smokehouse,1, 'Tue',,,,
ANTHONY'S COAL FIRED (HORSHAM) 9999,2, 'Thu',,,,
WEGMANS ALLENTOWN,46, 'Mon',7, 'Wed',6, 'Tue'
CJ's Doghouse,9, 'Wed',4, 'Fri',1, 'Tue'
Monk's Cafe,1, 'Fri',,,,
Cannstatter V V,4, 'Sat',1, 'Sun',,
Bound Beverage,32, 'Mon',25, 'Fri',18, 'Wed'
Percy Street BBQ,30, 'Mon',5, 'Tue',2, 'Fri'
PORTER HOUSE,2, 'Mon',1, 'Wed',,
ACME DEVON,11, 'Sun',8, 'Sat',3, 'Thu'
Tio Flores,2, 'Mon',1, 'Tue',,
Lima Beverage,2, 'Tue',1, 'Wed',,
Federal Deli,3, 'Fri',2, 'Mon',1, 'Wed'
Craft Manayunk,3, 'Mon',2, 'Wed',,
Hatboro Beverage,5, 'Fri',4, 'Tue',3, 'Wed'
Tony's Place,5, 'Wed',4, 'Fri',1, 'Tue'
TONIC DESIGN,1, 'Mon',,,,
Tinto,1, 'Sat',,,,
Whetstone Tavern,2, 'Mon',1, 'Tue',,
HERITAGE,2, 'Wed',1, 'Sun',,
Mac's Beverage,8, 'Mon',3, 'Tue',1, 'Wed'
Friends Of Washington's Crossing Beer Fest,1, 'Sun',,,,
CIVERA'S,2, 'Tue',1, 'Mon',,
BEER TOWN,1, 'Wed',,,,
From The Boot,4, 'Wed',2, 'Tue',,
